ID,ageCategoryWeight,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
461,5529,1,10778.0,1134.3333333333333,7,2,2
462,5529,1,14950.666666666666,1785.3333333333333,7,2,1
469,2553,1,13783.555555555555,1075.0,21,8,2
473,1289,0,9832.0,1184.5,4,1,1
476,5773,0,8910.5,1309.0,3,1,5
479,5529,1,12814.333333333334,1045.1666666666667,17,5,1
480,4038,1,8653.0,996.0,4,1,2
481,5773,1,10654.333333333334,1049.3333333333333,7,2,2
482,5138,1,13726.0,1672.5,11,3,1
483,4038,0,10880.666666666666,1043.3333333333333,8,2,1
490,1289,1,13241.833333333334,1037.0,13,5,2
491,630,1,10853.333333333334,993.6666666666666,8,2,1
493,1723,1,7024.0,350.0,4,1,1
494,5138,1,8074.5,726.0,4,1,2
495,5773,1,9005.6,46.0,8,4,2
497,5529,1,12232.0,1252.75,10,3,1
499,4038,1,7568.0,502.0,4,1,2
501,5138,0,8456.5,872.5,4,1,1
504,2553,0,13984.142857142857,1387.2857142857142,16,6,4
521,5529,1,6870.5,240.0,4,1,2
523,5529,1,5785.5,70.5,3,1,5
524,5773,1,10302.0,821.3333333333334,8,2,1
526,5773,1,7770.0,552.5,3,1,6
528,2553,1,5892.0,45.5,4,1,2
538,5529,1,16278.142857142857,2088.1428571428573,19,6,1
543,5529,1,7593.5,739.5,3,1,5
544,5773,0,10285.5,1538.5,4,1,2
548,2553,1,12966.4,817.7,26,9,1
550,5529,1,5472.0,21.5,4,1,1
555,5773,1,12386.2,1134.6,14,4,1
559,4038,1,12512.0,1085.4,14,4,1
561,1289,1,10179.5,1231.0,4,1,1
562,5773,1,5954.0,54.0,4,1,1
566,2553,1,6642.5,218.0,4,1,1
574,5529,1,9083.0,1051.0,4,1,1
579,5773,0,10780.666666666666,1011.6666666666666,8,2,1
581,4038,1,11326.75,302.5,21,7,1
583,1289,0,10587.333333333334,1080.3333333333333,6,2,4
588,5529,1,8889.5,1096.0,4,1,2
589,2553,1,7338.0,550.5,3,1,4
592,5138,1,6260.5,109.5,4,1,1
594,5529,0,9267.333333333334,399.3333333333333,8,2,1
601,1723,0,7497.0,479.0,4,1,2
603,5773,1,8578.0,241.66666666666666,7,2,2
607,1723,1,9228.0,1218.5,4,1,2
608,5773,1,10778.0,1633.5,4,1,2
610,1723,1,10519.5,1582.0,4,1,2
612,5529,0,10891.333333333334,1330.3333333333333,6,2,4
624,5529,1,12959.75,1670.25,9,3,4
627,5773,0,8076.0,745.5,4,1,1
634,2553,1,6110.0,75.0,3,1,6
635,5529,1,10745.076923076924,115.53846153846153,29,12,1
638,5773,1,10038.0,1213.0,4,1,1
644,2553,1,8972.0,1128.0,4,1,2
657,5138,1,5211.0,7.0,4,1,1
658,5773,1,6335.0,122.0,4,1,1
659,2553,0,11029.5,1672.5,4,1,2
660,5529,1,6996.5,341.0,4,1,1
661,5529,1,9588.666666666666,539.3333333333334,8,2,1
663,2553,1,10529.25,473.75,10,3,2
664,4038,0,12324.0,1552.3333333333333,8,2,1
668,5138,1,6457.5,128.0,4,1,2
670,5529,1,14186.333333333334,1941.3333333333333,8,2,1
680,4041,1,7382.5,426.0,4,1,2
682,5773,1,7297.0,393.5,3,1,6
692,5529,1,8431.5,895.5,4,1,2
693,4041,0,7721.5,568.5,4,1,2
697,630,1,13934.0,1584.3333333333333,17,5,1
700,630,1,16791.6,2488.2,14,4,1
701,2553,0,11339.4,637.0,13,4,2
703,5138,1,11005.0,1302.5,4,1,1
704,4038,0,13930.6,1719.4,13,4,2
708,200,1,16662.666666666668,2093.0,8,2,1
714,5138,1,7949.5,700.0,4,1,1
720,5773,1,9569.0,1513.5,3,1,5
721,4041,0,5801.0,39.5,4,1,1
724,5529,0,11601.0,1290.0,8,2,1
729,5529,1,10142.333333333334,806.3333333333334,7,2,2
740,5138,0,6965.5,328.5,4,1,1
749,5529,0,8885.0,994.0,4,1,1
752,5529,1,6205.0,95.0,4,1,1
759,5529,0,9658.5,1145.0,4,1,1
762,5773,1,13665.8,904.5,23,9,1
765,630,1,10890.5,596.75,8,3,1
769,5529,0,10281.166666666666,174.83333333333334,13,5,2
770,630,1,6007.0,63.0,4,1,1
772,5773,1,8615.5,926.5,4,1,1
773,5138,0,7956.0,700.5,4,1,1
774,4038,1,7240.5,443.0,4,1,1
776,5138,1,8963.0,1123.0,4,1,2
779,4041,1,8913.0,61.4,10,4,6
786,4038,0,8460.0,874.0,4,1,1
789,98,1,15084.857142857143,1600.7142857142858,14,6,5
796,4041,0,7266.0,454.0,4,1,1
797,5773,1,11150.666666666666,1157.0,8,2,1
801,5529,1,7628.0,477.5,2,1,10
804,1723,1,7929.666666666667,68.33333333333333,8,2,1
805,4041,1,11819.0,1534.6666666666667,7,2,1
808,4038,0,13950.0,2214.6666666666665,7,2,2
813,5529,0,9399.0,445.3333333333333,8,2,1
819,630,1,14300.2,1903.0,14,4,1
820,1289,1,11105.333333333334,1142.3333333333333,8,2,1
833,5529,1,8678.666666666666,279.6666666666667,7,2,1
834,5138,0,11149.5,1692.0,4,1,2
837,4041,0,10019.333333333334,890.0,6,2,4
846,5529,1,5365.5,14.5,4,1,1
847,5529,1,10917.666666666666,1121.0,7,2,1
850,1289,0,17126.5,2321.3333333333335,15,5,2
855,5773,1,7560.0,550.0,4,1,1
857,4041,0,9889.0,1421.5,4,1,2
861,4038,1,15029.5,1192.5,27,11,1
870,2553,1,10612.0,561.25,10,3,1
877,5529,1,7841.0,654.0,4,1,1
886,630,1,15665.3,1609.6,21,9,2
887,5138,1,8750.0,777.0,2,1,9
891,1289,1,7897.0,882.5,3,1,5
904,4038,0,10231.666666666666,769.6666666666666,8,2,1
